country,county,unit_name,unit_uid,unit_code,unit _type
Kenya,Kiambu County,Juja Sub County,aiqi2bz0IMI,KE_SubCounty_3038,Subcounty
Kenya,Kiambu County,Kabete Sub County,lb5LzWiUX8Y,KE_SubCounty_3032,Subcounty
Kenya,Homa Bay County,Kabondo Kasipul Sub County,BzFBYZhF5fx,KE_SubCounty_3001,Subcounty
Kenya,Bungoma County,Kabuchai Sub County,k1mze33jOs0,KE_SubCounty_2970,Subcounty
Kenya,West Pokot County,Kacheliba Sub County,wwDtq26ddp6,KE_SubCounty_3264,Subcounty
Kenya,Muranga County,Kahuro Sub County,s2jeo1C9aM8,,Subcounty
Kenya,Makueni County,Kaiti Sub County,pKJ4NZGPzTA,KE_SubCounty_3251,Subcounty
Kenya,Kajiado County,Kajiado Central Sub County,SZapM1R0Kti,KE_SubCounty_3009,Subcounty
Kenya,Kajiado County,Kajiado East Sub County,g6gTzQ5nfYq,KE_SubCounty_3008,Subcounty
Kenya,Kajiado County,Kajiado North Sub County,BLz1HkvvMkA,KE_SubCounty_3010,Subcounty
Kenya,Kajiado County,Kajiado West Sub County,wYsCfCAUWNB,KE_SubCounty_3007,Subcounty
Kenya,Machakos County,Kalama Sub County,pJDgmrxMQTn,KE_SubCounty_3254,Subcounty
Kenya,Kilifi County,Kaloleni Sub County,tSKDWoVKiPo,KE_SubCounty_3045,Subcounty
Kenya,Nairobi County,Kamukunji Sub County,qoLIT7y5f5c,KE_SubCounty_3141,Subcounty
Kenya,Muranga County,Kandara Sub County,gwYTo0wITYX,KE_SubCounty_3134,Subcounty
Kenya,Bungoma County,Kanduyi Sub County,CUjthlounWV,KE_SubCounty_2968,Subcounty
Kenya,Muranga County,Kangema Sub County,U9CLTNIwehR,KE_SubCounty_3252,Subcounty
Kenya,Machakos County,Kangundo Sub County,vMPhBuymSKt,KE_SubCounty_3096,Subcounty
Kenya,Uasin Gishu County,Kapseret Sub County,u9yagZzK49q,KE_SubCounty_3228,Subcounty
Kenya,Homa Bay County,Karachuonyo Sub County,fmsyW02tPng,KE_SubCounty_3000,Subcounty
Kenya,Nairobi County,Kasarani Sub County,FoqzDgIByL6,KE_SubCounty_3149,Subcounty
Kenya,Machakos County,Kathiani Sub County,iCey76HYgLP,KE_SubCounty_3094,Subcounty
Kenya,Elgeyo Marakwet County,Keiyo North Sub County,rlWH0Ac9vjc,KE_SubCounty_2981,Subcounty
Kenya,Elgeyo Marakwet County,Keiyo South Sub County,SOEG546PqbA,KE_SubCounty_2980,Subcounty
Kenya,Uasin Gishu County,Kesses Sub County,dKHnvt7gleN,KE_SubCounty_3227,Subcounty
Kenya,Kakamega County,Khwisero Sub County,UhQS2Mv0PCK,KE_SubCounty_3013,Subcounty
Kenya,Kiambu County,Kiambaa Sub County,oMaQgNIs85x,KE_SubCounty_3033,Subcounty
Kenya,Kiambu County,Kiambu Town Sub County,SBz4c48i24Y,KE_SubCounty_3034,Subcounty
Kenya,Turkana County,Kibish Sub County,AXNntZ7T30a,KE_SubCounty_3226,Subcounty
Kenya,Nairobi County,Kibra Sub County,LO5he3DtiFG,KE_SubCounty_3151,Subcounty
Kenya,Makueni County,Kibwezi East Sub County,ZhhyithPNoI,KE_SubCounty_3099,Subcounty
Kenya,Makueni County,Kibwezi West Sub County,toa2Hl7iVQI,KE_SubCounty_3081,Subcounty
Kenya,Nyeri County,Kieni East Sub County,YXt5ETQPRlB,KE_SubCounty_3194,Subcounty
Kenya,Nyeri County,Kieni West Sub County,odOtfcaMg4p,KE_SubCounty_3195,Subcounty
Kenya,Muranga County,Kigumo Sub County,tyfDsdZ1h3R,KE_SubCounty_3136,Subcounty
Kenya,Muranga County,Kiharu Sub County,VDlzh6w4LKv,KE_SubCounty_3137,Subcounty
Kenya,Kiambu County,Kikuyu Sub County,jOVcLeZQSsS,KE_SubCounty_3031,Subcounty
